Model	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	PMC ID
Haiku3.5	DAVID	Not described	KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6607232
Sonnet4	DAVID	Not described	KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6607232
human	DAVID	No	KEGG	No	No	No							PMC6607232
deepseek-r1:70b	clusterProfiler	Not described	GO, KEGG	Yes	Hypergeometric test	Yes	0	1	1	0	0	0	PMC6635158
gemma3:27b	KEGG	Not described	KEGG	Not described	Not described	Not described	0	1	0.5	0	1	1	PMC6635158
llama3.3:70b	KEGG	Not described	KEGG	Not described	Not described	Not described	0	1	0.5	0	1	1	PMC6635158
mistral-small3.1:24b	Not described	Not described	KEGG	Not described	Not described	Not described	0	1	0.5	0	1	1	PMC6635158
phi4:14b	KEGG	Not described	KEGG	Not described	Not described	Not described	0	1	0.5	0	1	1	PMC6635158
qwen3:32b	KEGG, GO	Not described	KEGG	Not described	Not described	Not described	0	1	0.5	0	1	1	PMC6635158
qwq:32b	DAVID	Not described	GO, KEGG	Not described	Not described	Not described	1	0	1	1	1	1	PMC6635158
gpt-oss:20b	DAVID	6.8	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6635158
GPT-4.1-nano	DAVID	6.8	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6635158
GPT-4.1-mini	DAVID	6.8	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6635158
GPT-4.1	DAVID	6.8	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6635158
Haiku3.5	DAVID	6.8	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6635158
Sonnet4	DAVID	6.8	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6635158
human	DAVID	Yes - v6.8	GO, KEGG	No	No	No							PMC6635158
deepseek-r1:70b	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
gemma3:27b	IPA	Not described	Not described	Not described	Hypergeometric test	Yes	1	1	1	1	0	0	PMC6660058
llama3.3:70b	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
mistral-small3.1:24b	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
phi4:14b	IPA	Not described	Canonical pathways	Not described	Not described	Not described	1	1	0	1	1	1	PMC6660058
qwen3:32b	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
qwq:32b	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
gpt-oss:20b	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
GPT-4.1-nano	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
GPT-4.1-mini	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
GPT-4.1	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
Haiku3.5	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
Sonnet4	IPA	Not described	Not described	Not described	Not described	Not described	1	1	1	1	1	1	PMC6660058
human	IPA	No	No	No	No	No							PMC6660058
deepseek-r1:70b	DAVID	Not described	GO, KEGG	Not described	Hypergeometric test	Not described	1	0	0.5	1	1	1	PMC6676725
gemma3:27b	DAVID	Not described	GO, KEGG	Not described	Hypergeometric test	Yes	1	0	0.5	1	0	0	PMC6676725
llama3.3:70b	DAVID, STRING, GO	Not described	GO	Not described	Not described	Not described	0.5	0	1	1	1	1	PMC6676725
mistral-small3.1:24b	Not described	Not described	Not described	Not described	Not described	Not described	0	0	0	1	1	1	PMC6676725
phi4:14b	DAVID, STRING	Not described	GO	Not described	Not described	Not described	0.5	0	1	1	1	1	PMC6676725
qwen3:32b	DAVID, GO	Not described	GO	Not described	Not described	Not described	0.5	0	1	1	1	1	PMC6676725
qwq:32b	DAVID	6.8	GO, KEGG	Not described	Not described	Yes	1	1	0.5	1	1	0	PMC6676725
gpt-oss:20b	DAVID	Not described	GO, Uniprot	Not described	Not described	Not described	1	0	0.5	1	1	1	PMC6676725
GPT-4.1-nano	DAVID	6.8	UniprotKB Keyword	Not described	Not described	Not described	1	1	0	1	1	1	PMC6676725
GPT-4.1-mini	DAVID	6.8	GO	Not described	Not described	Not described	1	1	1	1	1	1	PMC6676725
GPT-4.1	DAVID	6.8	GO	Not described	Not described	Not described	1	1	1	1	1	1	PMC6676725
Haiku3.5	DAVID	6.8	GO, UniprotKB	Not described	Not described	Not described	1	1	0.5	1	1	1	PMC6676725
Sonnet4	DAVID	6.8	GO, UniprotKB	Not described	Not described	Not described	1	1	0.5	1	1	1	PMC6676725
human	DAVID	Yes - v6.8	GO	No	Not mentioned	Not mentioned							PMC6676725
