Model	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	PMC ID
gemma3:27b	PANTHER	Not described	GO, KEGG, Reactome	Not described	Hypergeometric test	Yes	0.5	1	0.5	0	0	1	PMC6562070
llama3.3:70b	PANTHER	Not described	GO, Reactome	Not described	Not mentioned	Yes	0.5	1	0.67	0	0	1	PMC6562070
mistral-small3.1:24b	PANTHER	Not described	GO	Not described	Not described	Not described	0.5	1	0.33	0	0	0	PMC6562070
phi4:14b	Enrichr, DAVID, GSEA	Not described	GO, KEGG, Reactome, MSigDB	Not described	Hypergeometric test	Yes	0	1	0.25	0	0	1	PMC6562070
qwen3:32b	Not described	Not described	GO, Reactome	Not described	Not described	Yes	0	1	0.67	0	0	1	PMC6562070
qwq:32b	Not described	Not described	GO, Reactome	Not described	Not described	Yes	0	1	0.67	0	0	1	PMC6562070
gpt-oss:20b	PANTHER	Not described	GO, PANTHER, Reactome	Not described	Not described	Yes	0.5	1	0.5	0	0	1	PMC6562070
GPT-4.1-nano	PANTHER	Not described	GO, Reactome, PANTHER pathways	Yes 	Fisher's exact test	Yes	0.5	1	0.5	1	0.5	1	PMC6562070
GPT-4.1-mini	PANTHER	Not described	GO, PANTHER, Reactome	Yes 	Fisher's exact test	Yes	0.5	1	0.5	1	0.5	1	PMC6562070
GPT-4.1	PANTHER	Not described	GO, PANTHER, Reactome	Yes 	Fisher's exact test	Yes	0.5	1	0.5	1	0.5	1	PMC6562070
Haiku3.5	PANTHER	Not described	GO, PANTHER, Reactome	Yes 	Fisher's exact test	Yes	0.5	1	0.5	1	0.5	1	PMC6562070
Sonnet4	PANTHER	Not described	GO, PANTHER, Reactome	Yes 	Fisher's exact test	Yes	0.5	1	0.5	1	0.5	1	PMC6562070
human	MIGWAS , PANTHER	No	GO, Reactome, GWAS	Yes 	Permutation, Fisher	Yes							PMC6562070
deepseek-r1:70b	Fisher's exact test, q-value R package	Not described	GO, KEGG	Not described	Fisher's exact test	Yes	0	1	1	0	1	1	PMC6566916
gemma3:27b	GO, KEGG	Not described	GO, KEGG	Not described	Fisher's exact test	Yes	0	1	1	0	1	1	PMC6566916
llama3.3:70b	Fisher's exact test, q-value R package	Not described	GO, KEGG	Yes 	Fisher's exact test	Yes	0	1	1	1	1	1	PMC6566916
mistral-small3.1:24b	Not described	Not described	GO, KEGG	Not described	Fisher's exact test	Not described	0	1	1	0	1	0	PMC6566916
phi4:14b	GO, KEGG	Not described	GO, KEGG	Not described	Fisher's exact test	Yes	0	1	1	0	1	1	PMC6566916
qwen3:32b	Not described	Not described	GO, KEGG	Not described	Fisher's exact test	Yes	0	1	1	0	1	1	PMC6566916
qwq:32b	Not described	Not described	GO, KEGG	Yes 	Fisher's exact test	Yes	0	1	1	1	1	1	PMC6566916
gpt-oss:20b	Mapman (pageman)	Not described	GO, KEGG	Yes 	Fisher's exact test	Yes	1	1	1	1	1	1	PMC6566916
GPT-4.1-nano	Mapman (pageman)	Not described	GO, KEGG	Not described	Fisher's exact test	Yes	1	1	1	0	1	1	PMC6566916
GPT-4.1-mini	WEGO, MapMan, Fisher test	Not described	GO, KEGG	Yes 	Fisher's exact test	Yes	0.33	1	1	1	1	1	PMC6566916
GPT-4.1	Not described	Not described	GO, KEGG	Yes 	Fisher's exact test	Yes	0	1	1	1	1	1	PMC6566916
Haiku3.5	Mapman	Not described	GO, KEGG	Not described	Fisher's exact test	Yes	1	1	1	0	1	1	PMC6566916
Sonnet4	Mapman, WEGO, q-value	Not described	GO, KEGG	Yes 	Fisher's exact test	Yes	0.33	1	1	1	1	1	PMC6566916
human	PageMan	No	GO, KEGG	Yes	Fisher's exact test	Yes							PMC6566916
deepseek-r1:70b	DAVID	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	1	PMC6584928
gemma3:27b	DAVID	Not described	GO, KEGG	Not described	Hypergeometric test, Chi-sqared test	Not described	1	1	1	0	0	1	PMC6584928
llama3.3:70b	DAVID	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	1	PMC6584928
mistral-small3.1:24b	DAVID	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	1	PMC6584928
phi4:14b	DAVID	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	1	PMC6584928
qwen3:32b	DAVID	Not described	GO, KEGG	Yes 	Not described	Not described	1	1	1	1	1	1	PMC6584928
qwq:32b	DAVID	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	1	PMC6584928
gpt-oss:20b	DAVID	Not described	GO, KEGG	Yes 	Not described	Not described	1	1	1	1	1	1	PMC6584928
GPT-4.1-nano	DAVID	Not described	GO, KEGG	Yes 	Not described	Not described	1	1	1	1	1	1	PMC6584928
GPT-4.1-mini	DAVID	Not described	GO, KEGG	Yes 	Not described	Not described	1	1	1	1	1	1	PMC6584928
GPT-4.1	DAVID	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	1	PMC6584928
Haiku3.5	DAVID	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	1	PMC6584928
Sonnet4	DAVID	Not described	GO, KEGG	Yes 	Not described	Not described	1	1	1	1	1	1	PMC6584928
human	DAVID	No	GO, KEGG	Yes	No	No							PMC6584928
deepseek-r1:70b	ToppFun 	Not described	GO, miRNA targets	Not described	FDR	Yes	1	1	0.5	0	0	1	PMC6631992
gemma3:27b	ToppGene, DAVID	Not described	GO	Not described	Hypergeometric test	Yes	1	1	0.5	0	1	1	PMC6631992
llama3.3:70b	ToppFun 	Not described	GO	Not described	Not described	Yes	1	1	0.5	0	0	1	PMC6631992
mistral-small3.1:24b	Top5	Not described	GO	Not described	Not described	Yes	0	1	0.5	0	0	1	PMC6631992
phi4:14b	ToppFun 	Not described	GO, miRNA targets	Not described	Not described	Yes	1	1	1	0	0	1	PMC6631992
qwen3:32b	Not described	Not described	GO	Not described	Not described	Yes	0	1	0.5	0	0	1	PMC6631992
qwq:32b	Not described	Not described	GO	Not described	Not described	Not described	0	1	0.5	0	0	0	PMC6631992
gpt-oss:20b	ToppFun 	Not described	GO, mirtarbase, PITA	Not described	Not described	Yes	1	1	0.5	0	0	1	PMC6631992
GPT-4.1-nano	ToppFun 	Not described	GO, pathway, regulome, phenotype, parmacome, bibliome	Yes 	Hypergeometric test	Yes	1	1	0.2	1	1	1	PMC6631992
GPT-4.1-mini	ToppFun 	Not described	GO, miR targets, pathway, regulome, phenotype, parmacome, bibliome	Yes 	Hypergeometric test	Yes	1	1	0.2	1	1	1	PMC6631992
GPT-4.1	ToppFun 	Not described	GO, miRNA targets	Not described	Hypergeometric test	Yes	1	1	1	0	1	1	PMC6631992
Haiku3.5	ToppFun 	Not described	GO	Not described	Hypergeometric test	Yes	1	1	0.5	0	1	1	PMC6631992
Sonnet4	ToppFun 	Not described	GO, miRNA targets	Yes 	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6631992
human	ToppFun 	No	GO, miRNA targets	Yes	Hypergeometric test	Yes							PMC6631992
